Ticker,Last,Current,Expected,Return,Obs,Nop,Pnop,Adj_R2,F_stat,RSE,SPY,Sector
LLL,2017-07-27,176.02,167.227087976,-0.049954050812,65.0,2,1,0.798953257091,128.166965537,0.192289278859,0.065291,Industrials
LLY,2017-05-01,83.02,67.7701606227,-0.183688742198,63.0,4,1,0.887184953537,122.893020576,0.116438882555,0.388181,Health Care
LMT,2017-07-20,288.13,371.665185771,0.289921860866,64.0,5,1,0.933264012881,177.203680652,0.165775126782,0.340832,Industrials
LNC,2017-05-04,72.35,60.6420379387,-0.161823940032,59.0,2,1,0.749507794167,87.7720652565,0.211823470437,0.076011,Financials
LNT,2017-05-04,40.73,52.7821809614,0.295904271088,64.0,4,1,0.946227764511,278.152087051,0.175331614114,0.044069,Utilities
LOW,2017-06-06,77.0,97.1875728607,0.262176270918,61.0,4,1,0.887251912438,119.039950605,0.168273486922,0.293714,Consumer Discretionary
LRCX,2017-04-24,164.76,178.383599544,0.0826875427539,61.0,4,1,0.854315682741,88.9623523124,0.206766714036,0.126075,Information Technology
LUK,2017-05-03,26.62,24.7929873257,-0.0686330831801,64.0,2,1,0.738513150184,89.9649488957,0.201136510961,0.040925,Financials
LUV,2017-05-03,56.57,72.7208953235,0.285502834072,59.0,2,1,0.861241846585,180.996727661,0.206200977562,0.172294,Industrials
LVLT,2017-05-05,59.18,74.4772286327,0.258486458815,65.0,6,2,0.57917678273,15.6804772858,0.36520221446,0.080523,Telecommunication Services
M,2017-06-02,24.2,16.4220938436,-0.321401080842,66.0,2,2,0.820349700989,149.407018686,0.219453429926,0.033199,Consumer Discretionary
MA,2017-07-27,128.93,149.246474464,0.157577557312,44.0,3,1,0.981404329572,757.455404248,0.107154790614,0.570448,Information Technology
MAA,2017-07-27,102.9,162.992702538,0.583991278312,65.0,2,1,0.937016871219,477.072568307,0.15762810148,0.053406,Real Estate
MAC,2017-05-01,61.23,51.2941248393,-0.162271356535,63.0,3,1,0.864093904263,132.399114891,0.203840736399,0.034588,Real Estate
MAR,2017-05-09,104.06,100.747405045,-0.0318335090824,65.0,4,1,0.854408185933,94.8962884863,0.221529781364,0.151767,Consumer Discretionary
